phase,action,json_rel,json_name,base,match_found,matched_txt_rel,error
REAL,DELETE,שערי תורת בבל על מועד קטן_links.json,שערי תורת בבל על מועד קטן_links.json,שערי תורת בבל על מועד קטן,no,,
REAL,ORPHAN,שערי תורת בבל על מכות_links.json,שערי תורת בבל על מכות_links.json,שערי תורת בבל על מכות,no,,
REAL,DELETE,שערי תורת בבל על מכות_links.json,שערי תורת בבל על מכות_links.json,שערי תורת בבל על מכות,no,,
REAL,ORPHAN,שערי תורת בבל על מנחות_links.json,שערי תורת בבל על מנחות_links.json,שערי תורת בבל על מנחות,no,,
REAL,DELETE,שערי תורת בבל על מנחות_links.json,שערי תורת בבל על מנחות_links.json,שערי תורת בבל על מנחות,no,,
REAL,ORPHAN,שערי תורת בבל על מסכת דרך ארץ זוטא_links.json,שערי תורת בבל על מסכת דרך ארץ זוטא_links.json,שערי תורת בבל על מסכת דרך ארץ זוטא,no,,
REAL,DELETE,שערי תורת בבל על מסכת דרך ארץ זוטא_links.json,שערי תורת בבל על מסכת דרך ארץ זוטא_links.json,שערי תורת בבל על מסכת דרך ארץ זוטא,no,,
REAL,ORPHAN,שערי תורת בבל על מסכת סופרים_links.json,שערי תורת בבל על מסכת סופרים_links.json,שערי תורת בבל על מסכת סופרים,no,,
REAL,DELETE,שערי תורת בבל על מסכת סופרים_links.json,שערי תורת בבל על מסכת סופרים_links.json,שערי תורת בבל על מסכת סופרים,no,,
REAL,ORPHAN,שערי תורת בבל על מעילה_links.json,שערי תורת בבל על מעילה_links.json,שערי תורת בבל על מעילה,no,,
REAL,DELETE,שערי תורת בבל על מעילה_links.json,שערי תורת בבל על מעילה_links.json,שערי תורת בבל על מעילה,no,,
REAL,ORPHAN,שערי תורת בבל על משנה אהלות_links.json,שערי תורת בבל על משנה אהלות_links.json,שערי תורת בבל על משנה אהלות,no,,
REAL,DELETE,שערי תורת בבל על משנה אהלות_links.json,שערי תורת בבל על משנה אהלות_links.json,שערי תורת בבל על משנה אהלות,no,,
REAL,ORPHAN,שערי תורת בבל על משנה דמאי_links.json,שערי תורת בבל על משנה דמאי_links.json,שערי תורת בבל על משנה דמאי,no,,
REAL,DELETE,שערי תורת בבל על משנה דמאי_links.json,שערי תורת בבל על משנה דמאי_links.json,שערי תורת בבל על משנה דמאי,no,,
