phase,action,json_rel,json_name,base,match_found,matched_txt_rel,error
DRYRUN,PLAN_DELETE,שערי תורת בבל על משנה כלאים_links.json,שערי תורת בבל על משנה כלאים_links.json,שערי תורת בבל על משנה כלאים,no,,
DRYRUN,ORPHAN,שערי תורת בבל על משנה כלים_links.json,שערי תורת בבל על משנה כלים_links.json,שערי תורת בבל על משנה כלים,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על משנה כלים_links.json,שערי תורת בבל על משנה כלים_links.json,שערי תורת בבל על משנה כלים,no,,
DRYRUN,ORPHAN,שערי תורת בבל על משנה נגעים_links.json,שערי תורת בבל על משנה נגעים_links.json,שערי תורת בבל על משנה נגעים,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על משנה נגעים_links.json,שערי תורת בבל על משנה נגעים_links.json,שערי תורת בבל על משנה נגעים,no,,
DRYRUN,ORPHAN,שערי תורת בבל על משנה עוקצים_links.json,שערי תורת בבל על משנה עוקצים_links.json,שערי תורת בבל על משנה עוקצים,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על משנה עוקצים_links.json,שערי תורת בבל על משנה עוקצים_links.json,שערי תורת בבל על משנה עוקצים,no,,
DRYRUN,ORPHAN,שערי תורת בבל על משנה פרה_links.json,שערי תורת בבל על משנה פרה_links.json,שערי תורת בבל על משנה פרה,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על משנה פרה_links.json,שערי תורת בבל על משנה פרה_links.json,שערי תורת בבל על משנה פרה,no,,
DRYRUN,ORPHAN,שערי תורת בבל על משנה קינים_links.json,שערי תורת בבל על משנה קינים_links.json,שערי תורת בבל על משנה קינים,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על משנה קינים_links.json,שערי תורת בבל על משנה קינים_links.json,שערי תורת בבל על משנה קינים,no,,
DRYRUN,ORPHAN,שערי תורת בבל על משנה שביעית_links.json,שערי תורת בבל על משנה שביעית_links.json,שערי תורת בבל על משנה שביעית,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על משנה שביעית_links.json,שערי תורת בבל על משנה שביעית_links.json,שערי תורת בבל על משנה שביעית,no,,
DRYRUN,ORPHAN,שערי תורת בבל על נדה_links.json,שערי תורת בבל על נדה_links.json,שערי תורת בבל על נדה,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על נדה_links.json,שערי תורת בבל על נדה_links.json,שערי תורת בבל על נדה,no,,
DRYRUN,ORPHAN,שערי תורת בבל על נדרים_links.json,שערי תורת בבל על נדרים_links.json,שערי תורת בבל על נדרים,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על נדרים_links.json,שערי תורת בבל על נדרים_links.json,שערי תורת בבל על נדרים,no,,
DRYRUN,ORPHAN,שערי תורת בבל על נזיר_links.json,שערי תורת בבל על נזיר_links.json,שערי תורת בבל על נזיר,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על נזיר_links.json,שערי תורת בבל על נזיר_links.json,שערי תורת בבל על נזיר,no,,
DRYRUN,ORPHAN,שערי תורת בבל על סוטה_links.json,שערי תורת בבל על סוטה_links.json,שערי תורת בבל על סוטה,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על סוטה_links.json,שערי תורת בבל על סוטה_links.json,שערי תורת בבל על סוטה,no,,
DRYRUN,ORPHAN,שערי תורת בבל על סוכה_links.json,שערי תורת בבל על סוכה_links.json,שערי תורת בבל על סוכה,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על סוכה_links.json,שערי תורת בבל על סוכה_links.json,שערי תורת בבל על סוכה,no,,
DRYRUN,ORPHAN,שערי תורת בבל על סנהדרין_links.json,שערי תורת בבל על סנהדרין_links.json,שערי תורת בבל על סנהדרין,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על סנהדרין_links.json,שערי תורת בבל על סנהדרין_links.json,שערי תורת בבל על סנהדרין,no,,
DRYRUN,ORPHAN,שערי תורת בבל על עבודה זרה_links.json,שערי תורת בבל על עבודה זרה_links.json,שערי תורת בבל על עבודה זרה,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על עבודה זרה_links.json,שערי תורת בבל על עבודה זרה_links.json,שערי תורת בבל על עבודה זרה,no,,
DRYRUN,ORPHAN,שערי תורת בבל על עירובין_links.json,שערי תורת בבל על עירובין_links.json,שערי תורת בבל על עירובין,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על עירובין_links.json,שערי תורת בבל על עירובין_links.json,שערי תורת בבל על עירובין,no,,
DRYRUN,ORPHAN,שערי תורת בבל על פסחים_links.json,שערי תורת בבל על פסחים_links.json,שערי תורת בבל על פסחים,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על פסחים_links.json,שערי תורת בבל על פסחים_links.json,שערי תורת בבל על פסחים,no,,
DRYRUN,ORPHAN,שערי תורת בבל על קידושין_links.json,שערי תורת בבל על קידושין_links.json,שערי תורת בבל על קידושין,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על קידושין_links.json,שערי תורת בבל על קידושין_links.json,שערי תורת בבל על קידושין,no,,
DRYRUN,ORPHAN,שערי תורת בבל על ראש השנה_links.json,שערי תורת בבל על ראש השנה_links.json,שערי תורת בבל על ראש השנה,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על ראש השנה_links.json,שערי תורת בבל על ראש השנה_links.json,שערי תורת בבל על ראש השנה,no,,
DRYRUN,ORPHAN,שערי תורת בבל על שבועות_links.json,שערי תורת בבל על שבועות_links.json,שערי תורת בבל על שבועות,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על שבועות_links.json,שערי תורת בבל על שבועות_links.json,שערי תורת בבל על שבועות,no,,
DRYRUN,ORPHAN,שערי תורת בבל על שבת_links.json,שערי תורת בבל על שבת_links.json,שערי תורת בבל על שבת,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על שבת_links.json,שערי תורת בבל על שבת_links.json,שערי תורת בבל על שבת,no,,
DRYRUN,ORPHAN,שערי תורת בבל על תמורה_links.json,שערי תורת בבל על תמורה_links.json,שערי תורת בבל על תמורה,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על תמורה_links.json,שערי תורת בבל על תמורה_links.json,שערי תורת בבל על תמורה,no,,
DRYRUN,ORPHAN,שערי תורת בבל על תמיד_links.json,שערי תורת בבל על תמיד_links.json,שערי תורת בבל על תמיד,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על תמיד_links.json,שערי תורת בבל על תמיד_links.json,שערי תורת בבל על תמיד,no,,
DRYRUN,ORPHAN,שערי תורת בבל על תענית_links.json,שערי תורת בבל על תענית_links.json,שערי תורת בבל על תענית,no,,
DRYRUN,PLAN_DELETE,שערי תורת בבל על תענית_links.json,שערי תורת בבל על תענית_links.json,שערי תורת בבל על תענית,no,,
DRYRUN,ORPHAN,תוספות הראש על קידושין_links.json,תוספות הראש על קידושין_links.json,תוספות הראש על קידושין,no,,
DRYRUN,PLAN_DELETE,תוספות הראש על קידושין_links.json,תוספות הראש על קידושין_links.json,תוספות הראש על קידושין,no,,
